E_sim,E_solver,base,d_nu,f,gap,k_soft,n_bonds,n_diluted,nu_sim,nu_solver,ok,seed,sign_flip,z_live
0.8592402607944661,0.8185735121281266,regular,0.016093089116241466,0.1,0.09348300107734975,1e-40,360,36,0.29868037289494004,0.2825872837786986,1,2,0,5.4
0.6821478376081171,0.6374274355625414,regular,0.012208074408599723,0.15,0.10034932449827477,1e-40,360,54,0.3008964909371655,0.28868841652856575,1,0,0,5.1
0.6780210267644418,0.4136003303022141,regular,0.06229057881035205,0.15,0.5458042903022718,1e-40,360,54,0.349771753579369,0.41206233238972106,1,1,0,5.1
0.7435024231093754,0.5354273249559987,regular,0.0015443812051999517,0.15,0.28438474045343765,1e-40,360,54,0.2911681886336459,0.29271256983884586,1,2,0,5.1
0.5139836949424889,0.37839653777110455,regular,0.08885209296470264,0.2,0.4998007189510553,1e-40,360,72,0.3264853670659953,0.41533746003069794,1,0,0,4.8
0.5612785836364296,0.3063534809271378,regular,0.08376593496360862,0.2,0.6628322153040453,1e-40,360,72,0.35147432279398805,0.43524025775759667,1,1,0,4.8
0.5124789329866146,0.45911055098911585,regular,0.004781955436616692,0.2,0.11960125810248962,1e-40,360,72,0.2592404860130437,0.2640224414496604,1,2,0,4.8
0.17204193126433504,0.0897144865587975,regular,0.338084924500004,0.3,1.6697119958845805,1e-40,360,108,0.23382336831542733,0.5719082928154313,1,0,0,4.2
0.15516918504801624,0.1165993110787304,regular,0.11827212745155846,0.3,0.717393516858257,1e-40,360,108,0.20227246703276264,0.08400033958120418,1,1,0,4.2
0.07266541153534273,0.08503037195013954,regular,1.1748127020986938,0.3,1.3038449006498387,1e-40,360,108,0.9862806747316618,-0.188532027367032,1,2,1,4.2
3.5252534836447813e-16,2.015109453800023e-10,regular,0.45403820744385637,0.4,202.03239372210672,1e-40,360,144,0.8201369349198129,0.3660987274759565,1,0,0,3.6
-5.404912041950703e-15,2.386865452557813e-10,regular,0.15737437056969827,0.4,238.8424557617514,1e-40,360,144,0.9956380155863745,1.1530123861560728,1,1,0,3.6
-1.256951496404853e-15,2.6837714324978794e-10,regular,0.1295043133583219,0.4,268.6037676063856,1e-40,360,144,0.5246363956231752,0.6541407089814971,1,2,0,3.6
1.0704470676446431,1.0704470676442104,eta0.25,7.882583474838611e-15,0.0,4.2794817718297176e-13,0.01,360,0,0.2831060582479291,0.28310605824792123,1,0,0,6.0
0.9502368386311557,0.9502368386309039,eta0.25,1.0963452368173421e-13,0.05,5.83820708350499e-13,0.01,360,18,0.2938590701583301,0.2938590701582205,1,0,0,5.7
0.9378293232725798,0.9378293232722135,eta0.25,4.973799150320701e-14,0.05,5.489632388090591e-13,0.01,360,18,0.2641969307228347,0.26419693072278494,1,1,0,5.7
0.9105164743861129,0.9105164743856318,eta0.25,2.6922908347160046e-14,0.05,6.1581000137509e-13,0.01,360,18,0.2582153519411682,0.2582153519411951,1,2,0,5.7
0.735544970403077,0.7355449704027417,eta0.25,4.474198789239381e-14,0.1,5.736518416399434e-13,0.01,360,36,0.32975977499284004,0.3297597749928848,1,0,0,5.4
0.755927452991004,0.7559274529906133,eta0.25,6.250555628639631e-14,0.1,7.004591004095291e-13,0.01,360,36,0.2903939254287592,0.2903939254288217,1,1,0,5.4
0.7773630497788202,0.7773630497784862,eta0.25,9.520162436160717e-14,0.1,7.297721465924082e-13,0.01,360,36,0.2671566471073522,0.267156647107257,1,2,0,5.4
0.5747089449924077,0.5747089449921958,eta0.25,2.7422508708241367e-14,0.15,4.5424536047682503e-13,0.01,360,54,0.2701401436509626,0.2701401436509352,1,0,0,5.1
0.5870811553771864,0.5870811553770328,eta0.25,1.3039569424222464e-13,0.15,6.705043859132246e-13,0.01,360,54,0.26898933731094044,0.26898933731081004,1,1,0,5.1
0.5983733169933071,0.5983733169931285,eta0.25,1.2212453270876722e-14,0.15,3.374301347073339e-13,0.01,360,54,0.26397742675096036,0.26397742675094815,1,2,0,5.1
0.46693547633619326,0.4669354763359449,eta0.25,1.5987211554602254e-14,0.2,5.764436027415148e-13,0.01,360,72,0.3088064596273834,0.3088064596273994,1,0,0,4.8
0.46056841128124715,0.46056841128101933,eta0.25,8.604228440844963e-14,0.2,7.459417990957962e-13,0.01,360,72,0.29239279011526537,0.2923927901151793,1,1,0,4.8
0.4081687663642071,0.4081687663639935,eta0.25,7.444045380111675e-14,0.2,7.061807003873256e-13,0.01,360,72,0.35711029933740396,0.3571102993373295,1,2,0,4.8
0.18656992778564224,0.18656992778561649,eta0.25,3.353983757392598e-13,0.3,1.4158106944206274e-12,0.01,360,108,0.2124905112391089,0.2124905112387735,1,0,0,4.2
0.25199057715461703,0.2519905771545298,eta0.25,4.707345624410664e-14,0.3,4.574483757751473e-13,0.01,360,108,0.37266917582546344,0.37266917582541637,1,1,0,4.2
0.20973085833163788,0.20973085833155355,eta0.25,1.149080830487037e-14,0.3,4.290633630544724e-13,0.01,360,108,0.3753109378457029,0.3753109378456914,1,2,0,4.2
0.08494455099469134,0.08494455099459153,eta0.25,2.5135449277513544e-13,0.4,1.7730351401909235e-12,0.01,360,144,0.3702939425100541,0.37029394251030545,1,0,0,3.6
0.08981747098524542,0.08981747098519305,eta0.25,1.3117285035946225e-13,0.4,9.726563224491015e-13,0.01,360,144,0.28674492114395095,0.2867449211438198,1,1,0,3.6
0.0895370872944029,0.08953708729436392,eta0.25,1.493805079633148e-13,0.4,8.944984370094427e-13,0.01,360,144,0.27536416219813076,0.2753641621979814,1,2,0,3.6
1.0704470676446431,1.0704470676442104,eta0.25,7.882583474838611e-15,0.0,4.2794817718297176e-13,0.0001,360,0,0.2831060582479291,0.28310605824792123,1,0,0,6.0
0.9310144239077418,0.9310144239076916,eta0.25,3.010369731271112e-13,0.05,9.4309361294964e-13,0.0001,360,18,0.2885506996278565,0.2885506996275555,1,0,0,5.7
0.9261875308669516,0.9261875308666128,eta0.25,2.6267876762631204e-13,0.05,1.172341720504681e-12,0.0001,360,18,0.27570301370252337,0.27570301370278605,1,1,0,5.7
0.9057410736378191,0.9057410736373142,eta0.25,4.963252031586762e-13,0.05,2.0504401634995403e-12,0.0001,360,18,0.28244293899284156,0.2824429389933379,1,2,0,5.7
0.7376815479873327,0.7376815479871417,eta0.25,8.874012635828876e-13,0.1,2.934455402057459e-12,0.0001,360,36,0.2816653234232659,0.2816653234241533,1,0,0,5.4
0.7980467956517245,0.7980467956514307,eta0.25,4.2837955405161665e-13,0.1,1.6103566920438248e-12,0.0001,360,36,0.2948798131300594,0.294879813129631,1,1,0,5.4
0.7807268290179467,0.7807268290179956,eta0.25,3.0836444508963723e-13,0.1,1.0048143221697604e-12,0.0001,360,36,0.27731519028922585,0.2773151902895342,1,2,0,5.4
0.58613504017894,0.5861350401797193,eta0.25,3.6606828679452974e-13,0.15,2.6314303373551226e-12,0.0001,360,54,0.2311731158070824,0.23117311580744848,1,0,0,5.1
0.5804198035313459,0.5804198035317752,eta0.25,3.9468428525424315e-13,0.15,1.8976855498720265e-12,0.0001,360,54,0.2908302324152099,0.2908302324148152,1,1,0,5.1
0.6006230710298699,0.6006230710292801,eta0.25,4.633515793273091e-13,0.15,2.430688769880727e-12,0.0001,360,54,0.2698194827401011,0.26981948274056444,1,2,0,5.1
0.43147073689368065,0.43147073689290827,eta0.25,1.2944367799860856e-12,0.2,6.4979503800588965e-12,0.0001,360,72,0.22495369411718716,0.22495369411589272,1,0,0,4.8
0.4287929805542816,0.42879298055451764,eta0.25,1.53360657506596e-12,0.2,5.1467606871148765e-12,0.0001,360,72,0.2836610686624523,0.28366106866091867,1,1,0,4.8
