# commit=a031675 dirty=True saved_utc=2026-08-21T19:39:23+00:00
n_tri,rcond_min,rcond_p05,frac_rcond_lt_1e3,frac_rcond_lt_1e4,quality_min,quality_p05,area_min_over_mean,k_min_over_mean,frac_k_lt_1e3,run_id,topo,band,band_f,nu_target,nu_achieved,gap,dnu_bulk,dnu_worst
110,4.783069003568725e-08,0.00863910086196508,0.03636363636363636,0.00909090909090909,0.025356236163596817,0.5772718307443433,0.05925908531384699,0.10733476030515329,0.0,80,flipped,soft,0.0,0.0,-1.5356805058812742e-05,1.1637919965884507e-10,9.127469152670972e-14,nan
64,0.03376868423541844,0.0433318020652524,0.0,0.0,0.8294353786307335,0.8438746456565587,0.9137558784529572,0.21723417624283417,0.0,81,auxetic,large,0.1,0.0,-6.381138910335952e-05,1.3628667356108416e-12,2.9981402018160186e-14,nan
72,0.0026219463703563554,0.003495472759880205,0.0,0.0,0.37181315262859665,0.40922761098577826,0.39749017364813455,0.6995192037455155,0.0,82,tiling,medium,0.5,0.0,6.375225384655155e-05,3.120148208463286e-11,4.1880176626998833e-13,nan
114,0.034544331359054145,0.0718992622993617,0.0,0.0,0.6746071424220709,0.748874084227597,0.6191246773241309,0.9466581219737081,0.0,83,foam,small,0.9,0.0,0.24491497472944568,3.05301186249086e-13,0.0003335896476811262,nan
124,5.082674846426287e-05,0.004673282867095205,0.008064516129032258,0.008064516129032258,0.07691423031600098,0.2847871403450736,0.021574621285035758,0.9951585897622924,0.0,84,foam,none,0.99,0.0,0.28747584270072846,1.844451284231105e-11,0.01081004932545876,nan
108,0.000374945908901429,0.010543712021523323,0.018518518518518517,0.0,0.2979585427772414,0.5392353209071651,0.42760477008363446,0.11005775864707733,0.0,85,flipped,soft,0.0,0.1,0.0999989883086776,9.47621297809099e-13,4.464484337773911e-14,nan
116,0.0005379975414763437,0.0018487410959596906,0.017241379310344827,0.0,0.13007691636540533,0.2566488768552221,0.02075707114449388,0.3326648836671073,0.0,86,foam,large,0.1,0.1,0.10003468996642466,2.7292377572715027e-11,0.00013512861865008774,nan
92,6.115442487163279e-06,0.00240928986791973,0.05434782608695652,0.021739130434782608,0.014739573206739657,0.2466134160382129,0.0034138110687501853,0.6629147806739519,0.0,87,foam,medium,0.5,0.1,0.11526785035667962,6.523773219512523e-11,1.095984414334339e-12,nan
60,0.0502188045254041,0.05728905345158353,0.0,0.0,0.6747926694386799,0.7059926067700681,0.45953730299568135,0.9472186968507865,0.0,88,bravais,small,0.9,0.1,0.2552978284564259,4.96551211185266e-13,4.0190073491430667e-14,nan
120,0.13339694964529247,0.20375968128170696,0.0,0.0,0.8588464015093121,0.9063018371903778,0.7813240195679882,0.9962021291524007,0.0,89,bravais,none,0.99,0.1,0.3264640307194247,2.1742787386660946e-13,2.1649348980190553e-14,nan
60,0.028052997114873916,0.04932205454334403,0.0,0.0,0.735042795073563,0.7882977885561797,0.4899066682036004,0.1545788348155714,0.0,90,bravais,soft,0.0,0.2,0.20000762524116403,5.979954258790383e-13,1.6486811915683575e-14,nan
98,0.06834626148301161,0.09147967431694795,0.0,0.0,0.8616415131783322,0.8638181482858507,0.9945771438222853,0.4283349198641612,0.0,91,tiling,large,0.1,0.2,0.2000104843636184,3.226728552425004e-13,2.5590640717609858e-14,nan
128,0.03250660665202085,0.05314473333159006,0.0,0.0,0.692486565392128,0.7525608985133785,0.6009198562022415,0.6526925244559472,0.0,92,foam,medium,0.5,0.2,0.20065165233200385,3.1122227830594507e-13,0.0010210064829843102,nan
84,2.763174632680313e-07,0.004647471082553958,0.023809523809523808,0.011904761904761904,0.02219515621593172,0.2791973299675295,0.022898901064914108,0.9438842006566253,0.0,93,foam,small,0.9,0.2,0.21742468384856486,0.021510057816865453,0.0016432536512064888,nan
96,0.02250426946514421,0.05608272259261939,0.0,0.0,0.5650243590907024,0.6798158690105467,0.398822911847552,0.9952861862193829,0.0,94,bravais,none,0.99,0.2,0.28409050104479905,1.3925389186737031e-12,3.3306690738754696e-14,nan
72,0.07754144713593626,0.09236698782738716,0.0,0.0,0.9824158775498048,0.9825099328480296,0.9940002857302549,0.11665199178036637,0.0,95,bravais,soft,0.0,0.3,0.3000312589521309,2.498405006589793e-13,2.3869795029440866e-14,nan
108,0.061955243668531605,0.09096384175468859,0.0,0.0,0.7815431663165383,0.8388168716336125,0.27492522603702435,0.333750924696061,0.0,96,foam,large,0.1,0.3,0.30000299433500754,4.3741344311007015e-13,2.3425705819590803e-14,nan
60,0.03942051861814315,0.06773436186118531,0.0,0.0,0.6350184176191344,0.6875906561620355,0.4380730470212244,0.6998472489444727,0.0,97,bravais,medium,0.5,0.3,0.30464898716622235,4.862475931908945e-13,3.3306690738754696e-14,nan
144,0.08256274220489011,0.12003017604606676,0.0,0.0,0.7873734158068951,0.8328624830852279,0.765661716272075,0.9487391280091726,0.0,98,auxetic,small,0.9,0.3,0.29875211305783944,1.6417280996877033e-13,1.8596235662471372e-14,nan
94,0.07029027301867623,0.09764505467902626,0.0,0.0,0.7434692997074025,0.816825639384766,0.22170293929642232,0.9956103706169821,0.0,99,foam,none,0.99,0.3,0.3330919375880052,2.922735472915074e-13,1.509903313490213e-14,nan
102,0.05942761359854041,0.08852838846720885,0.0,0.0,0.7081377400968525,0.7679879542356568,0.6133936123253894,0.26631995102667616,0.0,100,foam,soft,0.0,0.4,0.4000284055614207,2.528332251655246e-13,3.3806291099836017e-14,nan
64,0.046335331649237955,0.08363503699316388,0.0,0.0,0.8614097944511593,0.8632027251713597,0.913527421435426,0.25758474682571486,0.0,101,auxetic,large,0.1,0.4,0.3999466810185099,2.2340733496070984e-13,2.2870594307278225e-14,nan
118,0.0001337445058234725,0.0019504900070383446,0.03389830508474576,0.0,0.1266689057978975,0.2626980234201985,0.006192305805348115,0.695289348926539,0.0,102,foam,medium,0.5,0.4,0.37261933212739845,7.874598323104388e-12,7.914779942552741e-13,nan
128,0.010637175648832682,0.014454432477347838,0.0,0.0,0.5083564208050767,0.5492206820670575,0.5441616270910865,0.9523489696138742,0.0,103,tiling,small,0.9,0.4,0.2747260068042648,0.46346573614481623,0.04055524145398123,nan
74,0.06347056715380339,0.09419735606087137,0.0,0.0,0.7262845722248125,0.7984644705231505,0.5335438529137891,0.9954595739783219,0.0,104,foam,none,0.99,0.4,0.30156028205305413,1.6649286556094302e-13,5.773159728050814e-15,nan
102,0.013994522670357671,0.0381751452776964,0.0,0.0,0.6303490509796414,0.7585359778778507,0.1657534548729138,0.2127938865864248,0.0,105,foam,soft,0.0,0.45,0.45035672915159053,8.872035634116574e-13,0.0004573859323322993,nan
104,0.001144500529887964,0.01929550975514785,0.0,0.0,0.2240939641111227,0.41443291955977135,0.0825921191856722,0.3489950725444099,0.0,106,foam,large,0.1,0.45,0.4476198123571871,1.6591597765723997e-12,0.002512617595905209,nan
291,0.0034930771855337,0.007838273108577692,0.0,0.0,0.3504720456895263,0.4433413380281854,0.32877923024974776,0.7001189545001374,0.0,107,auxetic,medium,0.5,0.45,0.3684916547080372,0.13177428072755842,0.00718453090754273,nan
72,0.05839279895283795,0.1367877044193209,0.0,0.0,0.7098624852363847,0.8154956050577223,0.46980407837527893,0.9630545586428338,0.0,108,bravais,small,0.9,0.45,0.31838569811190864,2.950669551956713e-13,8.326672684688674e-15,nan
120,0.03084497145875057,0.059939030385709316,0.0,0.0,0.5360947267577694,0.6558840909500806,0.3942236608662814,0.9963159375502874,0.0,109,bravais,none,0.99,0.45,0.31029370422541713,1.0025968548941621e-12,1.709743457922741e-14,nan
