# commit=a031675 dirty=True saved_utc=2026-08-21T19:39:23+00:00
n_tri,rcond_min,rcond_p05,frac_rcond_lt_1e3,frac_rcond_lt_1e4,quality_min,quality_p05,area_min_over_mean,k_min_over_mean,frac_k_lt_1e3,run_id,topo,nu_target,nu_achieved,gap,dnu_bulk,dnu_worst
64,1.6794132957616059e-06,2.1108578907346253e-05,0.140625,0.09375,0.055729052263749544,0.09607851733678545,0.03714489599314718,1.0,0.0,58,rotating_squares,-0.5,-0.3976444339267016,0.23138899348581699,0.01856519092455966,0.05654856567788202
64,3.355792817266368e-11,1.3049158561083843e-06,0.140625,0.109375,0.0037780718400755053,0.03829920775448524,0.00939040214082016,1.0,0.0,59,rotating_squares,-0.3,-0.25862576719391045,0.15743767226272914,0.016028662885237355,0.03191352374822459
64,5.941431288078711e-07,0.0003194932387952462,0.09375,0.046875,0.04640121414825054,0.20876570316713977,0.02101505017123533,1.0,0.0,60,rotating_squares,-0.1,-0.08633380975939636,0.21037281803930036,0.015017997783526305,0.02249672902992607
64,0.0012479142974392593,0.00377126186794719,0.0,0.0,0.3119896572390658,0.3998136597222883,0.17720547197619263,1.0,0.0,61,rotating_squares,0.1,0.10087731716083609,5.260582536061854e-12,1.8972323712063144e-13,4.698602618091741e-13
64,1.2570648827020184e-05,0.02463588916385863,0.015625,0.015625,0.09964765828205137,0.5522646811003772,0.10015029471615558,1.0,0.0,62,rotating_squares,0.2,0.20084333362737733,5.5361423372807156e-12,4.738154313344012e-13,7.322198403159064e-13
64,0.008409865589262893,0.025163690126031472,0.0,0.0,0.43947377690317907,0.6088228144074889,0.2455438569241984,1.0,0.0,63,rotating_squares,0.3,0.3000628338128266,1.1452448153514612e-12,7.288614156664153e-14,1.4166445794216997e-13
64,0.010346207663371871,0.05173426920337033,0.0,0.0,0.515471848783838,0.6429607177770507,0.2340327160808133,1.0,0.0,64,rotating_squares,0.4,0.3412998338169076,1.2175760252871182e-12,1.0436096431476471e-13,1.4921397450962104e-13
64,0.014536114588046187,0.06290188201530816,0.0,0.0,0.5574921627233727,0.6836288069270008,0.2675670862015005,1.0,0.0,65,rotating_squares,0.6,0.34156463465765763,1.1798510375591859e-12,7.782663402622347e-14,1.4405143744511406e-13
64,0.020650098217826166,0.04011496893548545,0.0,0.0,0.5458630570028251,0.5991792932478551,0.18171463652675093,1.0,0.0,66,rotating_squares,0.9,0.3407174663955909,1.943152264969035e-12,1.0541567618815861e-13,2.319255898441952e-13
129,5.819069832403831e-09,5.483190763470896e-07,0.2713178294573643,0.20155038759689922,0.00818636729385867,0.029964665854709086,0.007482070473877442,1.0,0.0,67,reentrant_honeycomb,-0.95,-0.19242581234061074,1.3059487541901031,0.17100383887429366,0.2577851319486585
129,1.7078653150085875e-11,2.115855101275971e-07,0.24806201550387597,0.1937984496124031,0.0033326887756335278,0.034058989516565934,0.003870600742239787,1.0,0.0,68,reentrant_honeycomb,-0.75,-0.19696363098143357,1.4486485186304574,0.16158815197838697,0.28135059055165756
129,6.405241066316914e-11,7.629708043533475e-07,0.2713178294573643,0.18604651162790697,0.004422249071337064,0.03562249876580754,0.004605364064750986,1.0,0.0,69,reentrant_honeycomb,-0.5,-0.15942699536776656,1.6980483570162141,0.15528158538199577,0.2699065680723699
129,2.252184899544638e-11,1.0242762583099738e-07,0.24806201550387597,0.17829457364341086,0.003692412986434292,0.02168234482837675,0.0032212151832535837,1.0,0.0,70,reentrant_honeycomb,-0.3,-0.14093476475576358,1.8007939968337836,0.15363148349111963,0.23660806500323572
129,1.4839764929797088e-11,2.944699890222601e-06,0.15503875968992248,0.10852713178294573,0.003297799203374798,0.07047390350560485,0.0021348677971018168,1.0,0.0,71,reentrant_honeycomb,-0.1,0.024141679215126277,2.3480234743849273,0.11964891100082944,0.2533968819971999
129,1.742127474813766e-08,0.00018941401478676513,0.06201550387596899,0.05426356589147287,0.016167734270296375,0.18496840234165296,0.017286826889642497,1.0,0.0,72,reentrant_honeycomb,0.1,0.13056526082866635,0.4837604701460415,0.03223983690859841,0.08400915839987515
