i,after,rep,vs,ratio_to_baseline,secs
398,test_open_domain,47,2.204663e-13,0.138,0.31
399,test_open_domain,48,2.204663e-13,0.138,0.34
400,test_open_domain,49,2.204663e-13,0.138,0.39
401,test_directional,0,2.204663e-13,0.138,0.49
402,test_directional,1,2.204663e-13,0.138,0.39
403,test_directional,2,2.204663e-13,0.138,0.45
404,test_directional,3,2.204663e-13,0.138,0.39
405,test_directional,4,2.204663e-13,0.138,0.39
406,test_directional,5,2.204663e-13,0.138,0.32
407,test_directional,6,2.204663e-13,0.138,0.30
408,test_directional,7,2.204663e-13,0.138,0.58
409,test_directional,8,2.204663e-13,0.138,0.33
410,test_directional,9,2.204663e-13,0.138,0.31
411,test_directional,10,2.204663e-13,0.138,0.30
412,test_directional,11,2.204663e-13,0.138,0.31
413,test_directional,12,2.204663e-13,0.138,0.30
414,test_directional,13,2.204663e-13,0.138,0.31
415,test_directional,14,2.204663e-13,0.138,0.36
416,test_directional,15,2.204663e-13,0.138,0.38
417,test_directional,16,2.204663e-13,0.138,0.32
418,test_directional,17,2.204663e-13,0.138,0.32
419,test_directional,18,2.204663e-13,0.138,0.31
420,test_directional,19,2.204663e-13,0.138,0.28
421,test_directional,20,2.204663e-13,0.138,0.29
422,test_directional,21,2.204663e-13,0.138,0.27
423,test_directional,22,2.204663e-13,0.138,0.29
424,test_directional,23,2.204663e-13,0.138,0.29
425,test_directional,24,2.204663e-13,0.138,0.28
426,test_directional,25,2.204663e-13,0.138,0.29
427,test_directional,26,2.204663e-13,0.138,0.29
428,test_directional,27,2.204663e-13,0.138,0.30
429,test_directional,28,2.204663e-13,0.138,0.31
430,test_directional,29,2.204663e-13,0.138,0.29
431,test_directional,30,2.204663e-13,0.138,0.29
432,test_directional,31,2.204663e-13,0.138,0.32
433,test_directional,32,2.204663e-13,0.138,0.31
434,test_directional,33,2.204663e-13,0.138,0.29
435,test_directional,34,2.204663e-13,0.138,0.28
436,test_directional,35,2.204663e-13,0.138,0.32
437,test_directional,36,2.204663e-13,0.138,0.34
438,test_directional,37,2.204663e-13,0.138,0.42
