run_id,topo_name,topo_class,n_nodes,n_bond,nu_target,band,band_f,nu_sim_initial,E_sim_initial,err_initial,nu_sim_konly,E_sim_konly,err_konly,nu_sim_full,E_sim_full,err_full,nu_solver_full,kmin_avg,solver_sim_gap,trustworthy,design_path,status,error
20,random_blue_noise_n66_s1017,foam,66,198,-0.15,soft,0.0,0.3383012322248103,1.214220378023982,0.48830123222481026,-0.1569064275645135,1.0302484391318383,0.006906427564513512,-0.1499799601109939,0.9999999999998445,2.003988900609044e-05,-0.14997996011073383,0.02919952412521439,3.045728468623153e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_20.npz,ok,
21,random_blue_noise_n69_s1013,foam,69,207,-0.15,large,0.1,0.3381922810668898,1.2139205935775923,0.48819228106688983,0.06003667024919338,0.9999999999995987,0.21003667024919337,0.026729310224687712,1.0128239332280342,0.1767293102246877,0.026729310224656633,0.15850699023671805,5.1841021941118075e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_21.npz,ok,
22,flipped_s300_f8,flipped,36,108,-0.15,medium,0.5,0.2626952585540763,1.0870374863571775,0.4126952585540763,0.17171616170712242,1.0032160163224333,0.3217161617071224,0.1328432478611935,1.0047279451403959,0.2828432478611935,0.1308476182135361,0.6329117009969764,0.03637282833332854,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_22.npz,ok,
23,flipped_s301_f8,flipped,54,162,-0.15,small,0.9,0.2656002026742137,1.1103263406824297,0.4156002026742137,0.2514079770560812,1.0000000000002411,0.4014079770560812,0.22948272011988438,1.0000000000005294,0.3794827201198844,0.22948272011978765,0.9468583618998796,2.0447726306116226e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_23.npz,ok,
24,random_poisson_disk_n69_s1044,foam,72,216,-0.15,none,0.99,0.2961682510232322,1.1164619010835986,0.4461682510232322,0.29514325551659276,1.0000000000000073,0.44514325551659273,0.2779863704964157,1.0000000000000804,0.42798637049641575,0.27798637049638764,0.9947120042418713,3.3274983671352595e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_24.npz,ok,
25,random_poisson_disk_n68_s1004,foam,67,201,0.0,soft,0.0,0.28905559979337475,1.1041117344163924,0.28905559979337475,-0.0007903073261169202,1.0019814675044423,0.0007903073261169202,9.825874998905975e-05,1.0000000000002176,9.825874998905975e-05,9.825874999452737e-05,0.11631121511086014,1.2744031353097347e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_25.npz,ok,
26,bravais_phi1.2_psi1.2_eta0.0_s0,bravais,30,90,0.0,large,0.1,0.3271966893366675,1.1467852758437618,0.3271966893366675,0.08801124141095097,0.9999999999999203,0.08801124141095097,0.015138050864698143,0.9999999999999479,0.015138050864698143,0.015138050864713315,0.17396230351784917,6.752747404870615e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_26.npz,ok,
27,bravais_phi1.4_psi1.0_eta0.2_s1,bravais,60,180,0.0,medium,0.5,0.2949421653861024,1.089662568801425,0.2949421653861024,0.21584311353472282,1.0000000000004128,0.21584311353472282,0.18378421831084257,1.0000000000005713,0.18378421831084257,0.18378421831070282,0.6447334848092653,2.079053191447604e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_27.npz,ok,
28,random_graded_n40_s1031,foam,40,120,0.0,small,0.9,0.2534956463894748,1.0166116484569134,0.2534956463894748,0.23767092544880458,1.0027439947257015,0.23767092544880458,0.19158647880208218,1.0082947668660662,0.19158647880208218,0.1834517936926578,0.9428222212581104,0.0667259264513426,0,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_28.npz,ok,
29,bravais_phi1.4_psi1.2_eta0.2_s0,bravais,60,180,0.0,none,0.99,0.2978276232969075,1.0996005783321718,0.2978276232969075,0.29718502762593446,1.0000000000001106,0.29718502762593446,0.28114217195334906,1.0000000000001579,0.28114217195334906,0.2811421719533116,0.9954124338005643,7.718773888003142e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_29.npz,ok,
